2025-10-03 at 10:36:56 | INFO | Страница загружена
2025-10-03 at 10:37:54 | INFO | Страница загружена
2025-10-03 at 10:38:19 | INFO | Страница загружена
2025-10-03 at 10:38:19 | INFO | Данные для входа введены
2025-10-03 at 10:38:19 | INFO | Кнопка входа нажата
2025-10-03 at 10:38:24 | SUCCESS | Вход выполнен! Текущий URL: https://journal.top-academy.ru/ru/main/dashboard/page/index
2025-10-03 at 10:38:25 | INFO | Страница с домашними заданиями загружена
2025-10-03 at 10:38:25 | INFO | Найдено элементов с домашними заданиями: 24
2025-10-03 at 10:38:25 | INFO | Найдена кнопка загрузки для: Архитектура аппаратных средств
2025-10-03 at 10:38:26 | INFO | Клик на кнопку загрузки для: Архитектура аппаратных средств
2025-10-03 at 10:38:29 | SUCCESS | Готово к загрузке файла для: Архитектура аппаратных средств
2025-10-03 at 10:38:29 | INFO | Найдена кнопка загрузки для: Операционные системы и среды
